student_id,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,attendance_percentage,average_score,performance_level
33,Female,Group D,Associate degree,Standard,,83.0,24.0,12.0,90.15,39.666666666666664,Low
34,Female,Group A,Some college,Free/Reduced,,49.0,67.0,36.0,62.96,50.666666666666664,Medium
35,Female,Group E,High school,Standard,Completed,24.0,9.0,29.0,80.94,20.666666666666668,Low
36,Male,Group D,Some college,Free/Reduced,Completed,10.0,85.0,89.0,64.89,61.333333333333336,Medium
37,Female,Group C,Some college,Standard,Completed,0.0,66.0,11.0,71.73,25.666666666666668,Low
38,Male,Group E,Master's degree,Free/Reduced,Completed,47.0,82.0,64.0,70.35,64.33333333333333,Medium
39,Male,Group D,Associate degree,Standard,,47.0,94.0,17.0,93.56,52.666666666666664,Medium
40,Male,Group E,Bachelor's degree,Standard,Completed,9.0,8.0,84.0,67.74,33.666666666666664,Low
41,Male,Group B,Master's degree,Free/Reduced,Completed,80.0,28.0,61.0,92.34,56.333333333333336,Medium
42,Male,Group B,Associate degree,Free/Reduced,Completed,29.0,36.0,50.0,91.76,38.333333333333336,Low
43,Female,Group A,Master's degree,Free/Reduced,,34.0,70.0,59.0,79.96,54.333333333333336,Medium
44,Female,Group A,Bachelor's degree,Standard,Completed,18.0,37.0,16.0,69.35,23.666666666666668,Low
45,Female,Group B,High school,Standard,Completed,52.0,87.0,59.0,69.08,66.0,Medium
46,Female,Group E,Bachelor's degree,Standard,Completed,33.0,71.0,8.0,78.6,37.333333333333336,Low
47,Female,Group B,High school,Standard,,31.0,97.0,51.0,60.35,59.666666666666664,Medium
48,Male,Group A,Bachelor's degree,Free/Reduced,Completed,75.0,58.0,91.0,81.25,74.66666666666667,Medium
49,Female,Group B,Some college,Free/Reduced,,80.0,56.0,14.0,98.11,50.0,Medium
50,Female,Group B,Bachelor's degree,Standard,,5.0,89.0,76.0,66.19,56.666666666666664,Medium
51,Male,Group E,Master's degree,Standard,Completed,12.0,59.0,27.0,82.93,32.666666666666664,Low
52,Female,Group D,High school,Standard,,85.0,27.0,80.0,98.47,64.0,Medium
53,Male,Group A,Associate degree,Free/Reduced,Completed,49.0,27.0,8.0,94.42,28.0,Low
54,Female,Group E,Master's degree,Free/Reduced,,63.0,45.0,55.0,94.02,54.333333333333336,Medium
55,Male,Group B,High school,Standard,,6.0,70.0,84.0,92.87,53.333333333333336,Medium
56,Female,Group B,High school,Free/Reduced,Completed,44.0,66.0,50.0,72.36,53.333333333333336,Medium
57,Female,Group D,Associate degree,Standard,Completed,49.0,85.0,74.0,95.62,69.33333333333333,Medium
58,Male,Group A,Some college,Standard,,84.0,54.0,93.0,97.65,77.0,High
59,Male,Group A,Master's degree,Free/Reduced,,64.0,37.0,35.0,79.83,45.333333333333336,Low
60,Male,Group C,Associate degree,Free/Reduced,,49.0,17.0,55.0,74.18,40.333333333333336,Low
61,Male,Group A,Associate degree,Free/Reduced,,18.0,75.0,88.0,76.57,60.333333333333336,Medium
62,Male,Group D,Some college,Free/Reduced,Completed,46.0,94.0,70.0,73.37,70.0,Medium
63,Male,Group C,Master's degree,Standard,,45.0,62.0,19.0,68.5,42.0,Low
64,Male,Group C,Associate degree,Free/Reduced,,28.0,4.0,54.0,84.74,28.666666666666668,Low
65,Male,Group B,Some college,Free/Reduced,Completed,49.0,43.0,59.0,82.5,50.333333333333336,Medium
66,Female,Group B,Master's degree,Free/Reduced,,83.0,28.0,34.0,78.5,48.333333333333336,Low
67,Female,Group A,Bachelor's degree,Free/Reduced,Completed,99.0,99.0,73.0,63.83,90.33333333333333,High
68,Male,Group C,High school,Standard,Completed,60.0,13.0,98.0,91.88,57.0,Medium
69,Female,Group B,Some college,Standard,Completed,64.0,57.0,0.0,67.0,40.333333333333336,Low
70,Female,Group D,High school,Free/Reduced,,22.0,51.0,77.0,64.58,50.0,Medium
71,Female,Group B,Bachelor's degree,Free/Reduced,Completed,94.0,17.0,44.0,84.92,51.666666666666664,Medium
72,Female,Group B,Associate degree,Standard,Completed,50.0,6.0,68.0,75.95,41.333333333333336,Low
73,Male,Group C,Associate degree,Standard,Completed,62.0,86.0,39.0,62.39,62.333333333333336,Medium
74,Female,Group C,Master's degree,Free/Reduced,,98.0,96.0,37.0,74.22,77.0,High
75,Male,Group E,Some college,Standard,,21.0,61.0,97.0,90.87,59.666666666666664,Medium
76,Female,Group D,Some college,Standard,,70.0,44.0,23.0,84.61,45.666666666666664,Low
77,Female,Group C,Master's degree,Standard,,32.0,15.0,3.0,74.51,16.666666666666668,Low
78,Female,Group A,High school,Standard,Completed,99.0,51.0,90.0,67.67,80.0,High
79,Male,Group D,Associate degree,Free/Reduced,Completed,43.0,36.0,50.0,85.27,43.0,Low
80,Female,Group D,Associate degree,Standard,Completed,6.0,24.0,12.0,95.5,14.0,Low
81,Male,Group C,Some college,Standard,,90.0,8.0,20.0,85.85,39.333333333333336,Low
82,Female,Group D,Some college,Free/Reduced,Completed,1.0,54.0,100.0,92.52,51.666666666666664,Medium
83,Male,Group C,Master's degree,Free/Reduced,,16.0,27.0,31.0,80.86,24.666666666666668,Low
84,Female,Group B,Bachelor's degree,Free/Reduced,,64.0,8.0,37.0,88.72,36.333333333333336,Low
85,Male,Group E,High school,Standard,,57.0,11.0,94.0,95.85,54.0,Medium
86,Male,Group B,Bachelor's degree,Free/Reduced,Completed,29.0,17.0,31.0,90.93,25.666666666666668,Low
87,Female,Group C,Bachelor's degree,Standard,Completed,85.0,90.0,78.0,96.39,84.33333333333333,High
88,Male,Group C,Some college,Free/Reduced,,91.0,89.0,56.0,77.25,78.66666666666667,High
89,Female,Group B,Some college,Standard,Completed,96.0,51.0,47.0,96.17,64.66666666666667,Medium
90,Female,Group A,Some college,Free/Reduced,,25.0,89.0,29.0,84.86,47.666666666666664,Low
91,Female,Group A,Bachelor's degree,Free/Reduced,Completed,34.0,73.0,70.0,94.8,59.0,Medium
92,Female,Group A,High school,Standard,,62.0,57.0,37.0,61.58,52.0,Medium
93,Female,Group C,Some college,Free/Reduced,,74.0,80.0,94.0,86.31,82.66666666666667,High
94,Female,Group D,Associate degree,Free/Reduced,,70.0,50.0,43.0,93.92,54.333333333333336,Medium
95,Female,Group C,High school,Free/Reduced,Completed,27.0,31.0,25.0,66.97,27.666666666666668,Low
96,Female,Group D,Associate degree,Free/Reduced,Completed,24.0,87.0,99.0,86.47,70.0,Medium
97,Female,Group B,High school,Free/Reduced,Completed,60.0,47.0,89.0,93.0,65.33333333333333,Medium
98,Female,Group E,Some college,Standard,Completed,30.0,7.0,1.0,71.52,12.666666666666666,Low
99,Female,Group D,Master's degree,Standard,Completed,53.0,29.0,42.0,76.21,41.333333333333336,Low
100,Male,Group A,Some college,Free/Reduced,,66.0,25.0,42.0,82.78,44.333333333333336,Low
101,Male,Group C,Bachelor's degree,Free/Reduced,Completed,96.0,23.0,62.0,80.77,60.333333333333336,Medium
102,Female,Group B,Bachelor's degree,Standard,,50.0,26.0,72.0,61.57,49.333333333333336,Low
103,Female,Group A,High school,Standard,Completed,57.0,78.0,57.0,63.95,64.0,Medium
104,Female,Group B,Bachelor's degree,Free/Reduced,Completed,33.0,91.0,47.0,64.02,57.0,Medium
105,Female,Group E,Some college,Standard,Completed,58.0,51.0,4.0,70.49,37.666666666666664,Low
106,Female,Group C,Associate degree,Free/Reduced,,20.0,38.0,90.0,69.83,49.333333333333336,Low
107,Female,Group C,Some college,Free/Reduced,Completed,55.0,65.0,75.0,89.69,65.0,Medium
108,Female,Group E,High school,Free/Reduced,,36.0,50.0,34.0,82.91,40.0,Low
109,Female,Group C,Bachelor's degree,Free/Reduced,Completed,63.0,72.0,92.0,90.56,75.66666666666667,High
110,Male,Group D,Associate degree,Standard,,18.0,49.0,15.0,62.8,27.333333333333332,Low
111,Female,Group B,Master's degree,Standard,,100.0,44.0,82.0,79.41,75.33333333333333,High
112,Male,Group A,Associate degree,Standard,,84.0,86.0,48.0,72.95,72.66666666666667,Medium
113,Female,Group E,Associate degree,Free/Reduced,,77.0,32.0,59.0,94.0,56.0,Medium
114,Female,Group D,Some college,Standard,Completed,73.0,18.0,50.0,88.31,47.0,Low
115,Male,Group A,Master's degree,Free/Reduced,Completed,52.0,51.0,90.0,94.77,64.33333333333333,Medium
116,Female,Group A,High school,Free/Reduced,,70.0,77.0,81.0,61.86,76.0,High
117,Male,Group E,High school,Standard,Completed,92.0,95.0,58.0,88.83,81.66666666666667,High
118,Female,Group D,Associate degree,Free/Reduced,,62.0,21.0,63.0,81.6,48.666666666666664,Low
119,Female,Group A,Associate degree,Free/Reduced,Completed,61.0,19.0,12.0,93.0,30.666666666666668,Low
120,Male,Group A,Bachelor's degree,Free/Reduced,Completed,49.0,96.0,93.0,80.29,79.33333333333333,High
121,Female,Group D,Master's degree,Standard,Completed,76.0,4.0,25.0,81.61,35.0,Low
122,Male,Group C,Associate degree,Free/Reduced,,18.0,83.0,69.0,62.07,56.666666666666664,Medium
123,Female,Group A,Bachelor's degree,Standard,Completed,49.0,77.0,2.0,86.74,42.666666666666664,Low
124,Male,Group B,Master's degree,Free/Reduced,,1.0,90.0,86.0,70.93,59.0,Medium
125,Male,Group D,High school,Standard,Completed,5.0,89.0,11.0,60.79,35.0,Low
126,Female,Group A,Bachelor's degree,Free/Reduced,,28.0,31.0,40.0,62.66,33.0,Low
127,Female,Group E,Master's degree,Standard,Completed,40.0,29.0,78.0,98.29,49.0,Low
128,Male,Group B,Bachelor's degree,Standard,,50.0,90.0,64.0,73.84,68.0,Medium
129,Female,Group A,Associate degree,Free/Reduced,,4.0,25.0,62.0,94.72,30.333333333333332,Low
130,Female,Group B,Some college,Free/Reduced,,40.0,81.0,49.0,98.39,56.666666666666664,Medium
131,Female,Group B,High school,Free/Reduced,Completed,61.0,86.0,46.0,97.73,64.33333333333333,Medium
132,Male,Group C,Associate degree,Free/Reduced,,29.0,87.0,7.0,95.27,41.0,Low
133,Male,Group B,Associate degree,Standard,Completed,61.0,3.0,30.0,95.79,31.333333333333332,Low
134,Male,Group C,Master's degree,Free/Reduced,,99.0,66.0,10.0,71.56,58.333333333333336,Medium
135,Male,Group D,Bachelor's degree,Standard,,26.0,42.0,16.0,66.06,28.0,Low
136,Male,Group C,High school,Free/Reduced,,49.0,29.0,26.0,85.57,34.666666666666664,Low
137,Male,Group E,Associate degree,Standard,Completed,81.0,15.0,50.0,79.52,48.666666666666664,Low
138,Male,Group A,Master's degree,Standard,Completed,51.0,70.0,26.0,63.95,49.0,Low
139,Male,Group D,High school,Standard,Completed,48.0,38.0,77.0,87.1,54.333333333333336,Medium
140,Male,Group D,Bachelor's degree,Free/Reduced,Completed,61.0,85.0,86.0,82.51,77.33333333333333,High
141,Female,Group E,Associate degree,Free/Reduced,Completed,99.0,40.0,55.0,94.52,64.66666666666667,Medium
142,Male,Group C,Associate degree,Standard,Completed,59.0,30.0,50.0,84.37,46.333333333333336,Low
143,Female,Group A,Associate degree,Standard,Completed,79.0,48.0,93.0,82.96,73.33333333333333,Medium
144,Female,Group C,High school,Standard,,53.0,12.0,97.0,77.63,54.0,Medium
145,Female,Group B,High school,Standard,,4.0,51.0,46.0,78.51,33.666666666666664,Low
146,Male,Group C,High school,Standard,Completed,8.0,92.0,18.0,98.18,39.333333333333336,Low
147,Male,Group D,High school,Free/Reduced,Completed,33.0,27.0,56.0,65.54,38.666666666666664,Low
148,Male,Group A,Master's degree,Standard,Completed,97.0,63.0,30.0,77.85,63.333333333333336,Medium
149,Male,Group C,Some college,Free/Reduced,Completed,35.0,18.0,15.0,86.23,22.666666666666668,Low
150,Female,Group A,Master's degree,Free/Reduced,Completed,94.0,51.0,44.0,77.32,63.0,Medium
151,Male,Group A,Associate degree,Free/Reduced,,19.0,51.0,26.0,71.33,32.0,Low
152,Male,Group B,Master's degree,Standard,Completed,80.0,24.0,60.0,71.49,54.666666666666664,Medium
153,Male,Group B,Bachelor's degree,Standard,Completed,83.0,37.0,25.0,69.35,48.333333333333336,Low
154,Male,Group D,High school,Standard,Completed,91.0,98.0,28.0,73.76,72.33333333333333,Medium
155,Male,Group E,Bachelor's degree,Standard,,84.0,89.0,43.0,94.87,72.0,Medium
156,Female,Group A,Bachelor's degree,Free/Reduced,,82.0,51.0,28.0,80.21,53.666666666666664,Medium
157,Male,Group E,Associate degree,Free/Reduced,,49.0,1.0,94.0,69.61,48.0,Low
158,Female,Group D,High school,Free/Reduced,,66.0,4.0,1.0,75.38,23.666666666666668,Low
159,Male,Group A,Bachelor's degree,Standard,Completed,49.0,60.0,5.0,64.23,38.0,Low
160,Female,Group A,Associate degree,Standard,,68.0,19.0,8.0,96.16,31.666666666666668,Low
161,Male,Group E,High school,Standard,,69.0,75.0,14.0,76.33,52.666666666666664,Medium
162,Male,Group C,Some college,Standard,,2.0,37.0,83.0,99.22,40.666666666666664,Low
163,Female,Group B,Associate degree,Standard,,48.0,79.0,57.0,73.9,61.333333333333336,Medium
164,Female,Group C,Master's degree,Standard,,41.0,100.0,1.0,93.45,47.333333333333336,Low
165,Female,Group E,High school,Free/Reduced,Completed,23.0,35.0,2.0,70.26,20.0,Low
166,Male,Group B,Bachelor's degree,Free/Reduced,,43.0,45.0,51.0,63.05,46.333333333333336,Low
167,Female,Group C,Bachelor's degree,Standard,,0.0,92.0,54.0,61.27,48.666666666666664,Low
168,Male,Group B,Master's degree,Free/Reduced,,53.0,98.0,52.0,84.25,67.66666666666667,Medium
169,Male,Group A,Master's degree,Free/Reduced,Completed,51.0,36.0,93.0,72.46,60.0,Medium
170,Female,Group C,Bachelor's degree,Free/Reduced,Completed,35.0,53.0,71.0,77.74,53.0,Medium
171,Female,Group B,High school,Free/Reduced,Completed,78.0,20.0,39.0,92.75,45.666666666666664,Low
172,Male,Group B,Associate degree,Standard,Completed,37.0,20.0,84.0,69.92,47.0,Low
173,Male,Group B,Master's degree,Free/Reduced,Completed,43.0,91.0,38.0,72.35,57.333333333333336,Medium
174,Female,Group C,Master's degree,Standard,Completed,81.0,69.0,42.0,93.81,64.0,Medium
175,Female,Group D,Master's degree,Standard,Completed,86.0,83.0,12.0,79.71,60.333333333333336,Medium
176,Female,Group C,Some college,Free/Reduced,Completed,46.0,59.0,36.0,93.11,47.0,Low
177,Male,Group E,High school,Standard,,28.0,35.0,54.0,74.98,39.0,Low
178,Male,Group C,High school,Free/Reduced,,50.0,76.0,31.0,75.93,52.333333333333336,Medium
179,Male,Group B,High school,Standard,Completed,40.0,10.0,13.0,66.69,21.0,Low
180,Male,Group A,High school,Standard,,85.0,87.0,64.0,96.65,78.66666666666667,High
181,Male,Group C,High school,Free/Reduced,Completed,63.0,82.0,26.0,95.87,57.0,Medium
182,Male,Group C,Bachelor's degree,Free/Reduced,,87.0,86.0,23.0,99.37,65.33333333333333,Medium
183,Female,Group B,Master's degree,Standard,,47.0,30.0,21.0,76.1,32.666666666666664,Low
184,Male,Group A,Bachelor's degree,Free/Reduced,Completed,76.0,100.0,77.0,92.74,84.33333333333333,High
185,Male,Group A,Some college,Standard,,96.0,36.0,44.0,76.6,58.666666666666664,Medium
186,Male,Group E,Associate degree,Free/Reduced,Completed,21.0,59.0,7.0,78.17,29.0,Low
187,Female,Group C,Master's degree,Standard,Completed,98.0,60.0,90.0,93.2,82.66666666666667,High
188,Male,Group A,Some college,Standard,,16.0,66.0,66.0,67.09,49.333333333333336,Low
189,Male,Group A,Bachelor's degree,Standard,Completed,85.0,97.0,63.0,68.81,81.66666666666667,High
190,Female,Group D,Associate degree,Standard,,4.0,28.0,96.0,72.59,42.666666666666664,Low
191,Male,Group D,Some college,Standard,,60.0,66.0,46.0,91.53,57.333333333333336,Medium
192,Male,Group A,Associate degree,Free/Reduced,Completed,88.0,78.0,20.0,74.91,62.0,Medium
193,Male,Group E,Some college,Standard,Completed,5.0,70.0,31.0,74.33,35.333333333333336,Low
194,Male,Group A,Bachelor's degree,Free/Reduced,Completed,52.0,66.0,50.0,99.95,56.0,Medium
195,Male,Group B,Associate degree,Free/Reduced,Completed,80.0,15.0,43.0,75.35,46.0,Low
196,Female,Group C,Some college,Standard,Completed,49.0,44.0,40.0,69.91,44.333333333333336,Low
197,Female,Group E,Bachelor's degree,Standard,,16.0,33.0,95.0,84.93,48.0,Low
198,Female,Group B,Master's degree,Free/Reduced,Completed,58.0,83.0,51.0,92.08,64.0,Medium
199,Male,Group E,Bachelor's degree,Standard,,96.0,43.0,87.0,62.78,75.33333333333333,High
200,Male,Group B,Bachelor's degree,Standard,Completed,38.0,96.0,10.0,84.76,48.0,Low
201,Male,Group C,Master's degree,Free/Reduced,,53.0,77.0,100.0,61.43,76.66666666666667,High
202,Female,Group C,Bachelor's degree,Free/Reduced,,47.0,41.0,84.0,81.05,57.333333333333336,Medium
203,Male,Group D,Master's degree,Free/Reduced,,36.0,34.0,17.0,70.28,29.0,Low
204,Male,Group B,Master's degree,Free/Reduced,,47.0,74.0,10.0,72.27,43.666666666666664,Low
205,Female,Group D,Master's degree,Free/Reduced,,67.0,83.0,26.0,78.68,58.666666666666664,Medium
206,Male,Group B,Some college,Free/Reduced,Completed,77.0,29.0,42.0,97.08,49.333333333333336,Low
207,Female,Group D,Associate degree,Standard,,76.0,52.0,64.0,88.43,64.0,Medium
208,Female,Group C,Some college,Free/Reduced,Completed,26.0,57.0,53.0,97.47,45.333333333333336,Low
209,Female,Group E,Master's degree,Free/Reduced,,49.0,27.0,28.0,86.4,34.666666666666664,Low
210,Male,Group D,Associate degree,Standard,Completed,26.0,14.0,20.0,60.28,20.0,Low
211,Male,Group B,Associate degree,Standard,,71.0,37.0,28.0,70.62,45.333333333333336,Low
212,Male,Group B,Master's degree,Standard,,62.0,49.0,8.0,96.23,39.666666666666664,Low
213,Male,Group C,Associate degree,Standard,Completed,51.0,12.0,60.0,85.74,41.0,Low
214,Male,Group B,Associate degree,Standard,Completed,46.0,34.0,61.0,99.27,47.0,Low
215,Male,Group A,Some college,Standard,,20.0,23.0,70.0,66.24,37.666666666666664,Low
216,Male,Group E,Associate degree,Free/Reduced,,56.0,64.0,50.0,71.87,56.666666666666664,Medium
217,Female,Group D,Master's degree,Standard,Completed,74.0,87.0,90.0,74.49,83.66666666666667,High
218,Male,Group E,High school,Standard,,94.0,90.0,95.0,73.06,93.0,High
219,Female,Group C,High school,Standard,,90.0,17.0,4.0,70.08,37.0,Low
220,Male,Group D,High school,Standard,Completed,41.0,57.0,96.0,77.74,64.66666666666667,Medium
221,Male,Group D,Master's degree,Free/Reduced,,47.0,25.0,14.0,85.69,28.666666666666668,Low
222,Male,Group A,High school,Standard,,49.0,28.0,56.0,72.45,44.333333333333336,Low
223,Female,Group C,Some college,Standard,Completed,71.0,71.0,4.0,63.19,48.666666666666664,Low
224,Female,Group B,Master's degree,Free/Reduced,,32.0,43.0,19.0,88.34,31.333333333333332,Low
225,Female,Group A,Master's degree,Free/Reduced,Completed,49.0,89.0,100.0,78.36,79.33333333333333,High
226,Female,Group A,Master's degree,Free/Reduced,Completed,34.0,4.0,80.0,82.26,39.333333333333336,Low
227,Male,Group E,Associate degree,Standard,,97.0,32.0,3.0,78.22,44.0,Low
228,Female,Group E,Associate degree,Free/Reduced,,15.0,4.0,55.0,95.61,24.666666666666668,Low
229,Male,Group E,Associate degree,Free/Reduced,Completed,35.0,35.0,84.0,82.35,51.333333333333336,Medium
230,Male,Group A,Bachelor's degree,Free/Reduced,Completed,65.0,76.0,33.0,96.93,58.0,Medium
231,Female,Group B,Some college,Standard,,75.0,80.0,39.0,80.42,64.66666666666667,Medium
232,Female,Group D,Master's degree,Standard,Completed,90.0,12.0,68.0,71.7,56.666666666666664,Medium
233,Female,Group E,Master's degree,Free/Reduced,,55.0,24.0,67.0,74.22,48.666666666666664,Low
234,Female,Group B,Associate degree,Standard,Completed,16.0,57.0,21.0,80.89,31.333333333333332,Low
235,Female,Group C,Master's degree,Standard,Completed,19.0,1.0,13.0,81.2,11.0,Low
236,Female,Group E,Master's degree,Standard,Completed,84.0,87.0,67.0,87.49,79.33333333333333,High
237,Female,Group D,High school,Standard,,93.0,35.0,7.0,68.98,45.0,Low
238,Female,Group C,Master's degree,Standard,Completed,83.0,24.0,66.0,86.35,57.666666666666664,Medium
239,Male,Group C,Bachelor's degree,Free/Reduced,Completed,7.0,33.0,45.0,91.14,28.333333333333332,Low
240,Female,Group D,Associate degree,Free/Reduced,Completed,17.0,11.0,28.0,87.06,18.666666666666668,Low
241,Female,Group E,Some college,Free/Reduced,Completed,17.0,18.0,89.0,79.27,41.333333333333336,Low
242,Male,Group A,Some college,Free/Reduced,,17.0,93.0,93.0,99.67,67.66666666666667,Medium
243,Female,Group D,High school,Standard,Completed,1.0,36.0,11.0,76.19,16.0,Low
244,Male,Group D,Some college,Free/Reduced,,75.0,0.0,50.0,64.26,41.666666666666664,Low
245,Male,Group D,Some college,Free/Reduced,Completed,49.0,59.0,51.0,92.86,53.0,Medium
246,Female,Group C,Associate degree,Standard,Completed,71.0,66.0,57.0,68.49,64.66666666666667,Medium
247,Male,Group B,Associate degree,Standard,,50.0,48.0,1.0,88.53,33.0,Low
248,Male,Group A,Bachelor's degree,Standard,,9.0,89.0,0.0,67.16,32.666666666666664,Low
249,Male,Group E,High school,Standard,Completed,74.0,78.0,54.0,60.68,68.66666666666667,Medium
250,Male,Group E,Some college,Free/Reduced,Completed,13.0,45.0,91.0,66.39,49.666666666666664,Low
251,Female,Group B,Bachelor's degree,Standard,Completed,25.0,47.0,98.0,75.08,56.666666666666664,Medium
252,Male,Group D,High school,Standard,,46.0,51.0,33.0,64.26,43.333333333333336,Low
253,Female,Group A,Master's degree,Standard,Completed,29.0,67.0,63.0,67.91,53.0,Medium
254,Male,Group E,Some college,Standard,,55.0,18.0,67.0,90.59,46.666666666666664,Low
255,Male,Group E,Master's degree,Standard,Completed,41.0,87.0,81.0,90.8,69.66666666666667,Medium
256,Male,Group D,Master's degree,Standard,,3.0,39.0,11.0,92.7,17.666666666666668,Low
257,Male,Group B,High school,Free/Reduced,,10.0,5.0,49.0,93.65,21.333333333333332,Low
258,Female,Group A,Some college,Free/Reduced,,23.0,79.0,20.0,76.82,40.666666666666664,Low
259,Female,Group B,High school,Free/Reduced,Completed,85.0,95.0,9.0,94.7,63.0,Medium
260,Male,Group B,Bachelor's degree,Standard,Completed,66.0,93.0,84.0,81.04,81.0,High
261,Male,Group A,Bachelor's degree,Standard,,36.0,62.0,88.0,78.82,62.0,Medium
262,Female,Group A,Master's degree,Free/Reduced,,1.0,34.0,80.0,88.74,38.333333333333336,Low
263,Male,Group E,Some college,Free/Reduced,,11.0,71.0,69.0,68.55,50.333333333333336,Medium
264,Male,Group E,Associate degree,Free/Reduced,Completed,20.0,60.0,13.0,91.58,31.0,Low
265,Male,Group A,Some college,Free/Reduced,Completed,68.0,4.0,100.0,77.18,57.333333333333336,Medium
266,Female,Group C,High school,Standard,Completed,70.0,36.0,39.0,65.09,48.333333333333336,Low
267,Female,Group E,Bachelor's degree,Free/Reduced,,63.0,75.0,81.0,64.77,73.0,Medium
268,Female,Group C,High school,Standard,Completed,67.0,88.0,29.0,66.6,61.333333333333336,Medium
269,Male,Group A,Master's degree,Standard,Completed,42.0,96.0,72.0,95.62,70.0,Medium
270,Male,Group E,Bachelor's degree,Standard,Completed,53.0,87.0,13.0,99.64,51.0,Medium
271,Female,Group B,Master's degree,Free/Reduced,,99.0,10.0,51.0,74.28,53.333333333333336,Medium
272,Female,Group A,Bachelor's degree,Free/Reduced,Completed,61.0,98.0,16.0,71.69,58.333333333333336,Medium
273,Female,Group D,Some college,Free/Reduced,Completed,85.0,39.0,61.0,68.75,61.666666666666664,Medium
274,Female,Group C,Some college,Standard,Completed,92.0,64.0,97.0,92.95,84.33333333333333,High
275,Male,Group A,Bachelor's degree,Standard,Completed,72.0,7.0,21.0,68.37,33.333333333333336,Low
276,Female,Group A,Master's degree,Free/Reduced,Completed,89.0,86.0,50.0,96.96,75.0,High
277,Male,Group E,Some college,Standard,,11.0,83.0,31.0,86.69,41.666666666666664,Low
278,Female,Group E,Some college,Free/Reduced,,0.0,95.0,75.0,95.89,56.666666666666664,Medium
279,Male,Group E,Associate degree,Standard,,71.0,10.0,54.0,82.16,45.0,Low
280,Female,Group D,Bachelor's degree,Standard,,32.0,70.0,79.0,87.63,60.333333333333336,Medium
281,Female,Group E,Some college,Standard,Completed,63.0,57.0,21.0,84.78,47.0,Low
282,Female,Group A,Master's degree,Standard,Completed,67.0,93.0,37.0,93.25,65.66666666666667,Medium
